iteration,value
0,-25.113620312499982
1,-66.63522031250001
2,-121.14161718749999
3,-139.43626718750002
4,-146.09964218750002
5,-156.3530171875
6,-156.3530171875
7,-156.3530171875
8,-156.3530171875
9,-165.3005671875
10,-168.7811203125
11,-172.3447453125
12,-175.00676875000002
13,-178.37254375000003
14,-178.37254375000003
15,-179.8075453125
16,-183.84629375000003
17,-184.4361921875
18,-184.4361921875
19,-184.4361921875
20,-184.4361921875
21,-184.4361921875
22,-184.4361921875
23,-184.4361921875
24,-184.4361921875
25,-184.4361921875
26,-184.4361921875
27,-184.4361921875
28,-191.634715625
29,-191.634715625
30,-191.634715625
31,-191.634715625
32,-191.634715625
33,-192.59081718750002
34,-192.59081718750002
35,-192.59081718750002
36,-192.59081718750002
37,-192.59081718750002
38,-192.59081718750002
39,-192.59081718750002
40,-192.70954375000002
41,-192.70954375000002
42,-192.70954375000002
43,-192.70954375000002
44,-192.70954375000002
45,-192.70954375000002
46,-192.70954375000002
47,-192.70954375000002
48,-192.70954375000002
49,-192.70954375000002
50,-192.70954375000002
51,-192.70954375000002
52,-192.70954375000002
53,-193.35359218750003
54,-193.35359218750003
55,-194.15069218750003
56,-194.15069218750003
57,-194.15069218750003
58,-194.15069218750003
59,-194.1560671875
60,-194.1560671875
61,-194.1560671875
62,-194.1560671875
63,-195.29391718750003
64,-195.29391718750003
65,-195.29391718750003
66,-195.29391718750003
67,-195.29391718750003
68,-195.39786875000001
69,-195.39786875000001
70,-195.39786875000001
71,-195.39786875000001
72,-195.40426875000003
73,-195.40426875000003
74,-195.40426875000003
75,-195.40426875000003
76,-195.40426875000003
77,-195.40426875000003
78,-195.40426875000003
79,-195.40426875000003
80,-195.40426875000003
81,-195.40426875000003
82,-195.40426875000003
83,-195.40426875000003
84,-195.40426875000003
85,-195.40426875000003
86,-195.40426875000003
87,-195.49364375000002
88,-195.49364375000002
89,-195.49364375000002
90,-195.49364375000002
91,-195.49364375000002
92,-195.52427031250002
93,-195.52427031250002
94,-195.52427031250002
95,-195.52427031250002
96,-195.52427031250002
97,-195.54312187500003
98,-195.54312187500003
99,-195.54312187500003
100,-195.54312187500003
101,-195.54312187500003
102,-195.54312187500003
103,-195.54312187500003
104,-195.54312187500003
105,-195.54312187500003
106,-195.54312187500003
107,-195.54312187500003
108,-195.54312187500003
109,-195.56197343750003
110,-195.56197343750003
111,-195.64494843750003
112,-195.64494843750003
113,-195.64494843750003
114,-195.64494843750003
115,-195.64494843750003
116,-195.64494843750003
117,-195.64494843750003
118,-195.64494843750003
119,-195.64494843750003
120,-195.64494843750003
121,-195.64494843750003
122,-195.64494843750003
123,-195.64494843750003
124,-195.64494843750003
125,-195.64494843750003
126,-195.64494843750003
127,-195.64494843750003
128,-195.64494843750003
129,-195.64494843750003
130,-195.64494843750003
131,-195.64494843750003
132,-195.64494843750003
133,-195.64494843750003
134,-195.64494843750003
135,-195.64494843750003
136,-195.64494843750003
137,-195.64494843750003
138,-195.64494843750003
139,-195.64494843750003
140,-195.64494843750003
141,-195.64494843750003
142,-195.64494843750003
143,-195.64494843750003
144,-195.64494843750003
145,-195.64494843750003
146,-195.64494843750003
147,-195.64494843750003
148,-195.64494843750003
149,-195.64494843750003
150,-195.64494843750003
151,-195.64494843750003
152,-195.64494843750003
153,-195.64494843750003
154,-195.64494843750003
155,-195.64494843750003
156,-195.64494843750003
157,-195.64494843750003
158,-195.64494843750003
159,-195.64494843750003
160,-195.64494843750003
161,-195.64494843750003
162,-195.64494843750003
163,-195.64494843750003
164,-195.64494843750003
165,-195.64494843750003
166,-195.64494843750003
167,-195.64494843750003
168,-195.64494843750003
169,-195.64494843750003
170,-195.64494843750003
171,-195.64494843750003
172,-195.70369687500005
173,-195.70369687500005
174,-195.70369687500005
175,-195.70369687500005
176,-195.70369687500005
177,-195.70369687500005
178,-195.70369687500005
179,-195.70369687500005
180,-195.70369687500005
181,-195.70369687500005
182,-195.70369687500005
183,-195.70369687500005
184,-195.70369687500005
185,-195.70369687500005
186,-195.70369687500005
187,-195.70369687500005
188,-195.76244531250003
189,-195.76244531250003
190,-195.76244531250003
191,-195.76244531250003
192,-195.76244531250003
193,-195.76244531250003
194,-195.76244531250003
195,-195.76244531250003
196,-195.76244531250003
197,-195.76244531250003
198,-195.76244531250003
199,-195.76244531250003
200,-195.76244531250003
201,-195.76244531250003
202,-195.76244531250003
203,-195.76244531250003
204,-195.76244531250003
205,-195.76244531250003
206,-195.76244531250003
207,-195.76244531250003
208,-195.76244531250003
209,-195.76244531250003
210,-195.76244531250003
211,-195.76244531250003
212,-195.76244531250003
213,-195.76244531250003
214,-195.76244531250003
215,-195.78129687500004
216,-195.78129687500004
217,-195.78129687500004
218,-195.78129687500004
219,-195.78129687500004
220,-195.78129687500004
221,-195.78129687500004
222,-195.78129687500004
223,-195.78129687500004
224,-195.78129687500004
225,-195.78129687500004
226,-195.78129687500004
227,-195.78129687500004
228,-195.78129687500004
229,-195.78129687500004
230,-195.78129687500004
231,-195.78129687500004
232,-195.78129687500004
233,-195.78129687500004
234,-195.78129687500004
235,-195.78129687500004
236,-195.78129687500004
237,-195.78129687500004
238,-195.78129687500004
239,-195.78129687500004
240,-195.78129687500004
241,-195.78129687500004
242,-195.78129687500004
243,-195.78129687500004
244,-195.78129687500004
245,-195.78129687500004
246,-195.78129687500004
247,-195.78129687500004
248,-195.78129687500004
249,-195.78129687500004
250,-195.78129687500004
251,-195.78129687500004
252,-195.78129687500004
253,-195.78129687500004
254,-195.78129687500004
255,-195.78129687500004
256,-195.78129687500004
257,-195.78129687500004
258,-195.78129687500004
259,-195.78667187500005
260,-195.78667187500005
261,-195.78667187500005
262,-195.78667187500005
263,-195.78667187500005
264,-195.78667187500005
265,-195.78667187500005
266,-195.78667187500005
267,-195.78667187500005
268,-195.78667187500005
269,-195.78667187500005
270,-195.78667187500005
271,-195.78667187500005
272,-195.78667187500005
273,-195.78667187500005
274,-195.78667187500005
275,-195.78667187500005
276,-195.78667187500005
277,-195.78667187500005
278,-195.78667187500005
279,-195.78667187500005
280,-195.78667187500005
281,-195.78667187500005
282,-195.78667187500005
283,-195.78667187500005
284,-195.78667187500005
285,-195.78667187500005
286,-195.78667187500005
287,-195.78667187500005
288,-195.78667187500005
289,-195.78667187500005
290,-195.78667187500005
291,-195.78667187500005
292,-195.78667187500005
293,-195.78667187500005
294,-195.78667187500005
295,-195.78667187500005
