iteration,value
0,35.454890156386014
1,33.85382912606959
2,32.21267708813015
3,30.54708903145803
4,28.870489371097374
5,27.193569773122455
6,25.52420319345655
7,23.867784053562357
8,22.227950286825482
9,20.607594844767377
10,18.881357233239527
11,17.161885824382534
12,15.45940359336802
13,13.787250296261016
14,12.162160866950893
15,10.604079462362455
16,9.268987597399493
17,7.911072424242031
18,6.690013333494894
19,5.509814581829611
20,4.508297910173016
21,3.741765488921886
22,2.4387518310336618
23,1.1747241189080335
24,0.09955242780449965
25,-1.0555685414250113
26,-2.133338954107291
27,-3.360067881291021
28,-4.679010712134174
29,-5.707339071820204
30,-6.7722851370001935
31,-7.472160863037061
32,-8.00271543414261
33,-8.654327663651625
34,-8.949546390366468
35,-9.213998702998929
36,-9.439890949941084
37,-9.943054031078224
38,-10.115681873688448
39,-10.627524510594686
40,-11.142994979732713
41,-11.665540184435782
42,-12.198700446305285
43,-12.744952402432933
44,-13.309842571916642
45,-13.89296973388694
46,-14.49483209551281
47,-15.36336301771388
48,-16.026579373556626
49,-16.697658986327582
50,-17.367417582086738
51,-18.3379319123576
52,-18.99217639061907
53,-19.602244952953562
54,-20.15241433082498
55,-20.627822178695798
56,-21.015575383477632
57,-21.305763851327683
58,-21.496769227317376
59,-21.6899357271369
60,-21.88509473370254
61,-22.129475169003506
62,-22.33551180296286
63,-22.595249885283835
64,-22.80714961799522
65,-23.07583972415407
66,-23.34371007374795
67,-23.555854424821398
68,-23.82126849766039
69,-24.022334323528256
70,-24.21015905459238
71,-24.46894638095402
72,-24.64359331730912
73,-24.804734056214063
74,-25.06175320977543
75,-25.215435962343047
76,-25.3584383497835
77,-25.491367476434
78,-25.614933935981384
79,-25.910299617306123
80,-26.042449302125114
81,-26.168920370296586
82,-26.290191890283392
83,-26.406686494261844
84,-26.5187738719398
85,-26.626775881640718
86,-26.730972327719257
87,-26.83160676653146
88,-26.928891948579196
89,-27.02301468518745
90,-27.114140053703174
91,-27.583366001234594
92,-28.057379220785588
93,-28.53652482797107
94,-29.021416869828393
95,-29.512959759694127
96,-30.012352321716037
97,-30.52106508175209
98,-31.040779481558353
99,-31.573276507171677
100,-32.12026261076103
101,-32.68312374391586
102,-33.262604797357724
103,-33.85842246017899
104,-34.46883446760509
105,-35.090206220620836
106,-35.71663411519499
107,-36.33969932272497
108,-36.948430878549935
109,-37.52954757766976
110,-38.06802107395197
111,-38.54795824370349
112,-38.95374487468372
113,-39.27133560370034
114,-39.489530312320404
115,-39.60105795229699
116,-39.67711511444662
117,-39.751863721956326
118,-39.82510642079244
119,-39.896615758957246
120,-39.96612937783169
121,-40.03334464423498
122,-40.09791293454926
123,-40.15943396293446
124,-40.21745079099315
125,-40.2714464693435
126,-40.320843632315494
127,-40.36500876314051
128,-40.40326320409152
129,-40.520321942985305
130,-40.561181224601484
131,-40.59622531029896
132,-40.73431299175238
133,-40.77550046659001
134,-40.81157623852998
135,-40.84219367546885
136,-40.867062193795824
137,-41.06632111735447
138,-41.103926937875215
139,-41.13639148173746
140,-41.16317590569899
141,-41.18369775677665
142,-41.19734377373283
143,-41.28891083981052
144,-41.30349619750616
145,-41.31160730976356
146,-41.42225202395993
147,-41.43566567098863
148,-41.44385073763716
149,-41.82766570357957
150,-42.213674607506384
151,-42.782593433063354
152,-43.19929032873676
153,-43.62154619952127
154,-44.05045084652353
155,-44.48738070474994
156,-44.93393736047747
157,-45.39183562539306
158,-45.862729024841684
159,-46.34796350596581
160,-46.84825665543692
161,-47.363310438616836
162,-47.891380429438655
163,-48.80979357853689
164,-49.73922468529609
165,-50.6715177716038
166,-51.59625816539274
167,-52.50103481181607
168,-53.37200683139746
169,-54.19476298379345
170,-54.955404761702724
171,-55.64172554241365
172,-56.24431392478707
173,-56.75739310175354
174,-57.25304095230969
175,-57.765303327374184
176,-58.29244214319435
177,-58.83083540330922
178,-59.374600705871536
179,-59.91534932027654
180,-60.442149690918924
181,-60.94176987214545
182,-61.39924130245411
183,-61.79874200027395
184,-62.12474127589445
185,-62.3632909296227
186,-62.50330320614834
187,-62.537636548996524
