iteration,value
0,951849.9418710938
1,791733.9006210936
2,663274.1190585938
3,561912.2349960937
4,476535.6221835938
5,408678.4346835938
6,348724.50718359376
7,301525.8549960937
8,260166.43937109373
9,225802.5521835937
10,195952.63468359376
11,170862.83124609376
12,148357.36655859376
13,128473.05905859375
14,112875.54999609376
15,98640.49468359373
16,85965.57812109373
17,74729.15405859373
18,65020.45468359374
19,56300.59093359376
20,49215.37749609375
21,42666.77499609376
22,36783.103746093766
23,31422.14405859376
24,26672.11843359375
25,22763.38468359375
26,19407.43655859375
27,16518.34374609375
28,13822.93937109375
29,11549.485933593749
30,9577.175308593749
31,7891.337496093748
32,6568.582183593749
33,5463.204996093748
34,4443.78343359375
35,3610.66187109375
36,2968.76780859375
37,2436.9296835937503
38,1945.3103085937503
39,1536.3924960937504
40,1244.5478085937502
41,1020.1018710937502
42,841.4968710937501
43,702.0756210937501
44,624.6418710937501
45,554.4221835937499
46,511.5118710937501
47,466.0112460937501
48,434.37905859375013
49,424.81374609375007
50,418.58405859375006
51,405.95874609375005
52,401.3771835937501
53,399.8134335937501
54,398.8403085937501
55,396.57624609375006
