iteration,value
1,3025.1
2,2901.3
3,2901.3
4,2901.3
5,2886.9
6,2872.2
7,2872.2
8,2872.2
9,2872.2
10,2865.1
11,2865.1
12,2827.2
13,2807.7
14,2807.7
15,2797.9
16,2797.9
17,2757.7
18,2748.8
19,2748.8
20,2747.2
21,2747.2
22,2684.3
23,2684.3
24,2684.3
25,2684.3
26,2684.3
27,2684.3
28,2684.3
29,2684.3
30,2684.3
31,2684.3
32,2684.3
33,2684.3
34,2684.3
35,2677.8
36,2673.3
37,2673.3
38,2645.6
39,2645.6
40,2645.6
41,2645.6
42,2645.6
43,2645.6
44,2645.6
45,2645.6
46,2645.6
47,2644.1
48,2644.1
49,2644.1
50,2644.1
51,2628.4
52,2628.4
53,2628.4
54,2628.4
55,2628.4
56,2604.7
57,2604.7
58,2604.7
59,2604.7
60,2604.7
61,2604.7
62,2599.7
63,2599.7
64,2599.7
65,2599.7
66,2558.3
67,2558.3
68,2558.3
69,2553.0
70,2523.3
71,2523.3
72,2523.3
73,2523.3
74,2523.3
75,2523.3
76,2511.4
77,2511.4
78,2511.4
79,2511.4
80,2511.4
81,2511.4
82,2511.4
83,2511.4
84,2511.4
85,2511.4
86,2511.4
87,2511.4
88,2511.4
89,2511.4
90,2511.4
91,2511.4
92,2511.4
93,2511.4
94,2511.4
95,2511.4
96,2511.4
97,2511.4
98,2511.4
99,2511.4
100,2511.4
101,2511.4
102,2511.4
103,2511.4
104,2489.9
105,2489.9
106,2489.9
107,2489.9
108,2489.9
109,2489.9
110,2489.9
111,2489.9
112,2489.9
113,2489.9
114,2489.9
115,2489.9
116,2489.9
117,2489.9
118,2489.9
119,2489.9
120,2489.9
121,2489.9
122,2489.9
123,2489.9
124,2488.9
125,2488.9
126,2488.9
127,2488.9
128,2488.9
129,2488.9
130,2488.9
131,2488.9
132,2488.9
133,2488.9
134,2488.9
135,2488.9
136,2488.9
137,2488.9
138,2488.9
139,2488.9
140,2488.9
141,2488.9
142,2488.9
143,2488.9
144,2488.9
145,2488.9
146,2488.9
147,2488.9
148,2488.9
149,2488.9
150,2488.9
151,2488.9
152,2488.9
153,2488.9
154,2488.9
155,2488.9
156,2488.9
157,2488.9
158,2488.9
159,2488.9
160,2488.9
161,2488.9
162,2488.9
163,2488.9
164,2488.9
165,2488.9
166,2488.9
167,2488.9
168,2488.9
169,2488.9
170,2488.9
171,2488.9
172,2488.9
173,2488.9
174,2488.9
175,2488.9
176,2488.9
177,2488.9
178,2476.0
179,2476.0
180,2476.0
181,2476.0
182,2476.0
183,2476.0
184,2476.0
185,2476.0
186,2476.0
187,2476.0
188,2476.0
189,2476.0
190,2476.0
191,2476.0
192,2476.0
193,2476.0
194,2476.0
195,2476.0
196,2476.0
197,2476.0
198,2476.0
199,2476.0
200,2476.0
